play	doc	page	file	line_id	label	xmlid	line_text
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_30627619.xml	r1l17	אליקים	elyakim	אליקים: לְחַיִים אוּנְזֶער גַאסְטְגֶעבֶּער, מִשְנֱה למֶלֶךְ דָנִיאֵל! שְרֵייט
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_30627619.xml	r1l19	אלע	alle	אלע: יְחִי הַמִשְנֶה למֶלֶך דָנִיאֵל.
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_30627619.xml	r1l21	אליקים	elyakim	אליקים: לְחַיִים דֶעם צְוִוייגֶעלֶע פוּן מַלְכוּת בֵּית דָוִד, דָאס אֵיינִיקֶעל פוּן
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_30627619.xml	r1l24	אלע	alle	אלע: יְחִי הַבֶּן מֶלֶך זְרֻבָּבֶל!
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_30627619.xml	r1l26	אליקים	elyakim	אליקים: אַחֲרוֹן אַחֲרוֹן חָבִיב! לְחַיִים כָּל יִשְׂרָאֵל, לְחַיִים!
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_30627619.xml	r1l27	זמרי	zimri	זמרי: (אין א מאנטעל געהילט, בעז צו אליקים), וֶועט עֶס דֶען נָאר קיין עֶנְדֶע
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_30627619.xml	r1l30	אליקים	elyakim	אליקים: (קוקט איהם אין פנים) וֶוער אִיז דֶער לֵץ? זַיין צוּרָה אִיז מִיר ַגַאנְץ
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_30627619.xml	r1l32	זמרי	zimri	זמרי: (שטויסט איהם אוועק פון זיך) גֶעה צוּ דִי הֶעלֶע!
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_07.xml	r1l17	אליקים	elyakim	אליקים: לְחַיִים אוּנְזֶער גַאסְטְגֶעבֶּער, מִשְנֱה למֶלֶךְ דָנִיאֵל! שְרֵייט
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_07.xml	r1l19	אלע	alle	אלע: יְחִי הַמִשְנֶה למֶלֶך דָנִיאֵל.
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_07.xml	r1l21	אליקים	elyakim	אליקים: לְחַיִים דֶעם צְוִוייגֶעלֶע פוּן מַלְכוּת בֵּית דָוִד, דָאס אֵיינִיקֶעל פוּן
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_07.xml	r1l24	אלע	alle	אלע: יְחִי הַבֶּן מֶלֶך זְרֻבָּבֶל!
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_07.xml	r1l26	אליקים	elyakim	אליקים: אַחֲרוֹן אַחֲרוֹן חָבִיב! לְחַיִים כָּל יִשְׂרָאֵל, לְחַיִים!
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_07.xml	r1l27	זמרי	zimri	זמרי: (אין א מאנטעל געהילט, בעז צו אליקים), וֶועט עֶס דֶען נָאר קיין עֶנְדֶע
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_07.xml	r1l30	אליקים	elyakim	אליקים: (קוקט איהם אין פנים) וֶוער אִיז דֶער לֵץ? זַיין צוּרָה אִיז מִיר ַגַאנְץ
AlNaharotBavel-Amkreut&Freund1909	820975	7	0007_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_07.xml	r1l32	זמרי	zimri	זמרי: (שטויסט איהם אוועק פון זיך) גֶעה צוּ דִי הֶעלֶע!
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_30627620.xml	r1l1	אליקים	elyakim	אליקים: אָט אָ דֶעם בֶּעכֶער וֵויין הֵייבּ אִיךְ אוֹיף אוּן שְרֵיי בְּקוֹל רָם
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_30627620.xml	r1l9	אלע	alle	אלע: לְחַיִים, לְחִיִים!
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_30627620.xml	r1l10	זרובבל	zerubavel	זרובבל: (וועלכער האט וועהרענד. אביגער סצענע שטיל געשפראכען מיט דניאל און
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_30627620.xml	r1l22	דניאל	daniel	דניאל: זרֻבָּבֶל! נִישְט נוּר אֵיינְמָאל הָאבֶּען מִיר פוּן דֶעם גֶעשֶפְּרָאכֶען, אוּן
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_30627620.xml	r1l25	זרובבל	zerubavel	זרובבל : (בעגייסטערט אייבערשרייענד) יאָ צִיוֹן, דוּ זִיסֶע הֵיילִיגֶע הֵיימַאטְה!
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_30627620.xml	r1l33	זמרי	zimri	זמרי: נִיעמַאלְס!
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_30627620.xml	r1l34	אלע	alle	אלע: (ערשטוינט) אָה?!
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_08.xml	r1l1	אליקים	elyakim	אליקים: אָט אָ דֶעם בֶּעכֶער וֵויין הֵייבּ אִיךְ אוֹיף אוּן שְרֵיי בְּקוֹל רָם
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_08.xml	r1l9	אלע	alle	אלע: לְחַיִים, לְחִיִים!
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_08.xml	r1l10	זרובבל	zerubavel	זרובבל: (וועלכער האט וועהרענד. אביגער סצענע שטיל געשפראכען מיט דניאל און
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_08.xml	r1l22	דניאל	daniel	דניאל: זרֻבָּבֶל! נִישְט נוּר אֵיינְמָאל הָאבֶּען מִיר פוּן דֶעם גֶעשֶפְּרָאכֶען, אוּן
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_08.xml	r1l25	זרובבל	zerubavel	זרובבל : (בעגייסטערט אייבערשרייענד) יאָ צִיוֹן, דוּ זִיסֶע הֵיילִיגֶע הֵיימַאטְה!
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_08.xml	r1l33	זמרי	zimri	זמרי: נִיעמַאלְס!
AlNaharotBavel-Amkreut&Freund1909	820975	8	0008_Al naharot Bavel - biblishes muzikdrama in 4 akten zamt epilog -1909 -1-BN_63.436_0001_Page_08.xml	r1l34	אלע	alle	אלע: (ערשטוינט) אָה?!
AlNaharotBavel-Amkreut&Freund1909	820975	9	0009_30627621.xml	r1l2	אליקים	elyakim	אליקים: (לויפט צו צו איהם) וֶוער אִיז דֶער לֶץ? פוּן אָנְהֵייבּ אָן אִיז עֶר מִיר
AlNaharotBavel-Amkreut&Freund1909	820975	9	0009_30627621.xml	r1l5	זמרי	zimri	זמרי: איןִ צִיוֹן פֶערְגֶעסְט! דָאס לַאנְד אִיז נִישְט מֵעהר אַייעֶרְס אוּן קֶען
AlNaharotBavel-Amkreut&Freund1909	820975	9	0009_30627621.xml	r1l13	אליקים	elyakim	אליקים: (וויטהענד) פַארְשְטְאפּ דִיר דַיין פִּיסְק מִיט אַ הֵייס שְטִיק אַייזֶען.
AlNaharotBavel-Amkreut&Freund1909	820975	9	0009_30627621.xml	r1l14	זמרי	zimri	זמרי: (נישט אכטענד רעדט ווייטער) יׁא זָאג אִיךְ, אִיהר אַלֵיין זֶענְט אִין אַלֶעס
AlNaharotBavel-Amkreut&Freund1909	820975	9	0009_30627621.xml	r1l26	זרובבל	zerubavel	זרובבל: (אונטערברעכענד) הַאלְט אַיין! (צו אליקים) אֶלִיָקִים וֶוער אִיז דִיעזֶער
AlNaharotBavel-Amkreut&Freund1909	820975	9	0009_30627621.xml	r1l28	אליקים	elyakim	אליקים: אִיךְ זָאל אַזוֹי וִויסֶען פוּן אִיהם!
