play	page	line_id	offset	length	function	role	n	mark	line_text
Lateiner_Meshumed	0004	l_1	0	3	musicCue	in		R I	R I II
Lateiner_Meshumed	0004	l_1	4	2	musicCue	out		II	R I II
Lateiner_Meshumed	0004	line_1605181385842_108	0	4	musicCue	out		II R	II R
Lateiner_Meshumed	0004	line_1604849993346_1155	0	2	musicCue	in		IR	IR | וועה איז מיר, מיינע קישקיס זוגען שוין ווידע
Lateiner_Meshumed	0004	line_1604850008673_1160	17	3	musicCue	in		R.I	קאצאפ. | אה זו? .R.I
Lateiner_Meshumed	0005	r2l4	52	5	musicCue	out		R. II	מעכיל. | אוי אז טאנצין זאל איך שוין נאך אייער לויה. R. II
Lateiner_Meshumed	0011	line_1605457299965_2411	25	3	musicCue	in		R.I	אלע. | וווהין געהסטו?   .R.I
Lateiner_Meshumed	0015	r1l12	44	2	musicCue	in		RI	נאך הויזע קאמען וועל איך עס איהם דערצעהלין. RI
Lateiner_Meshumed	0015	r1l14	0	2	sceneCue	in		SI	SI | אה יאסיף יוסיף איז דוס ניט דאס גראב געזאנג מיט ווילכין
Lateiner_Meshumed	0015	r1l21	0	4	musicCue	out		R.II	R.II
Lateiner_Meshumed	0015	line_1606663968417_152	0	4	sceneCue	out		S II	S II
Lateiner_Meshumed	0016	line_1606072634391_860	0	3	musicCue	out		IIR	IIR | (איין צימער בא מעכלין. געדעקטע טישען. ברענען דיע לעכט. פֿראטיג צי נאכטס)
Lateiner_Meshumed	0016	line_1606072522903_799	50	3	musicCue	in		R.I	טאקע שרה און ווארט נאך אויס מיטען צימיס (שרה אב) .R.I
Lateiner_Meshumed	0017	line_1606073309966_1331	23	4	musicCue	out		R.II	שרה. | יא יא זינג טאקע R.II
Lateiner_Meshumed	0018	r2l5	35	2	musicCue	in		IR	וואס העלפֿט דוס וויינען און קלוגען IR
Lateiner_Meshumed	0019	r2l12	0	2	musicCue	in		IR	IR
Lateiner_Meshumed	0019	r2l19	35	3	musicCue	in		R.I	אבער צו ערשט וויל איך מאכען קידוש. R.I
Lateiner_Meshumed	0019	r2l22	22	3	musicCue	out		IIR	אהוא וברוך שמוי. אמן. IIR
Lateiner_Meshumed	0019	line_1606074229787_1777	15	4	musicCue	out		R.II	(זינגען קידוש) R.II
Lateiner_Meshumed	0021	line_1606075204972_2223	39	2	musicCue	in		IR	יוסיף. | זא נעמען זיא דאס געלד אנקעל. .IR R.I
Lateiner_Meshumed	0021	line_1606075204972_2223	42	3	musicCue	in		R.I	יוסיף. | זא נעמען זיא דאס געלד אנקעל. .IR R.I
Lateiner_Meshumed	0021	line_1606075298943_2279	38	3	musicCue	out		IIR	קינד. | מאמאשא (וויינט) (מוזיק שטורם) IIR מעלאדראמע R.II
Lateiner_Meshumed	0021	line_1606075298943_2279	52	4	musicCue	out		R.II	קינד. | מאמאשא (וויינט) (מוזיק שטורם) IIR מעלאדראמע R.II
