mention_id	volume	host_xml_id	host_person_id	host_heading	surname_token	mention_name	verdict	method	resolved_hub_id	resolved_heading	candidate_hub_ids	candidate_headings	candidate_scores	family_cluster	chips	gold_hub_id	gold_agrees	sentence
M-Volume_4IIIorg-NOXID-אַבאַ (קאָוונער)-000	4	facs_360_tr_1754998576	P-4-facs_360_tr_1754998576	קאָדיסאָן, לייב [שוסטער]	אבא	אַבאַ (קאָוונער)	RESOLVED	unique_candidate	HUB-D710	שעהנגאָלד אבא [אַלבערט]	HUB-D710	שעהנגאָלד אבא [אַלבערט]	0.4	0	gender:male|career-overlap	HUB-D710	1	"זיין זון אַבאַ (קאָוונער) האָט אַ קורצע צייט געשפּילט אין דער „ווילנער טרופּע"""
M-volume6IIIorg-6-facs_255_tr_1747928944-אבאַ-000	6	facs_255_tr_1747928944	P-6-facs_255_tr_1747928944	שעהנגאָלד, יוסף	אבא	אבאַ	RESOLVED	unique_candidate	HUB-D710	שעהנגאָלד אבא [אַלבערט]	HUB-D710	שעהנגאָלד אבא [אַלבערט]	0.4	0	gender:male|career-overlap	HUB-D710	1	עלטערן — די יידישע אַקטיאָרן אבאַ און חיה-שרה (קלאַראַ) שעהנגאָלד.
M-volume_2IIIorg-NOXID-אַבעלמאַן-001	2	facs_254_tr_1744280771	P-2-facs_254_tr_1744280771	מיגדאָלסקי, איגנאַצי (מיגדאַל)	אבעלמאן	אַבעלמאַן	AMBIGUOUS	low_margin			HUB-D1097|HUB-D3572|HUB-D1098	אַבּעלמאַן, מרדכי|אַבּעלמאַן, בעני [ברוך-משה]|אַבּעלמאַן, ציפּע (צפּורה)	0.4|0.3|0.05	0	gender:male|career-overlap|gender-mismatch	HUB-D3572		דערנאָך געפֿאַרן אין אַ טורנעע איבער פּוילן מיט אַבעלמאַן, קאַץ און א. בערמאַן
M-Volume5IIIorg-NOXID-אַבעלמאַן-000	5	facs_436_tr_1739220741	P-5-facs_436_tr_1739220741	זילבערג, יוכבך	אבעלמאן	אַבעלמאַן	AMBIGUOUS	low_margin			HUB-D1097|HUB-D3572|HUB-D1098	אַבּעלמאַן, מרדכי|אַבּעלמאַן, בעני [ברוך-משה]|אַבּעלמאַן, ציפּע (צפּורה)	0.4|0.3|0.05	0	gender:male|career-overlap|gender-mismatch	HUB-D3572		"אָנגעהויבן אַלס כאָריסטקע אין טעאַטער „ווענוס"" אין וואַרשע מיט שטראַספאָגעל און אַבעלמאַן"
M-volume_1IIIorg-NOXID-אַבראָמאָוו-000	1	facs_270_TextRegion_1711971070302_285	P-1-facs_270_TextRegion_1711971070302_285	גראָדנער, א. [אַברהם יעקב חאַש-אַבראַמאָוו]	אבראמאוו	אַבראָמאָוו	RESOLVED	scored	HUB-D1106	אַבראַמאָוו	HUB-D1106|HUB-D1102|HUB-D1103|HUB-D1104|HUB-D1105	אַבראַמאָוו|אַבראַמאָוו, א. [אַברהם קאַגאָן]|אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]|אַבראַמאָוו, באָריס [פּיינלאַנד]|אַבראַמאָוו, מערי [מרים איינהאָרן]	0.6|0.3|0.3|0.3|0.05	0	gender:male|fame-prior|gender-mismatch	HUB-D1106	1	אין אַבראָמאָוו און דערנאָך גראָדנער אויך מיטגעמאַכט זייער טורנעע איבער פּוילן און רומעניע.
M-volume_1IIIorg-NOXID-אַבראָמאָוו-001	1	facs_288_r_4	P-1-facs_288_r_4	דאָרף, מאָריס	אבראמאוו	אַבראָמאָוו	RESOLVED	scored	HUB-D1106	אַבראַמאָוו	HUB-D1106|HUB-D1102|HUB-D1103|HUB-D1104|HUB-D1105	אַבראַמאָוו|אַבראַמאָוו, א. [אַברהם קאַגאָן]|אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]|אַבראַמאָוו, באָריס [פּיינלאַנד]|אַבראַמאָוו, מערי [מרים איינהאָרן]	0.6|0.3|0.3|0.3|0.05	0	gender:male|fame-prior|gender-mismatch	HUB-D1106	1	דאָן געשפּילט אַ סעזאָן לעגיטים טעאַטער ביי אַבראָמאָוו אין דעטראָיט
M-Volume_3IIIorg-NOXID-אַבראַמאָוו-000	3	facs_34_tr_1752653017	P-3-facs_34_tr_1752653017	פאָסטערנאַק, הנינא	אבראמאוו	אַבראַמאָוו	RESOLVED	scored	HUB-D1106	אַבראַמאָוו	HUB-D1106|HUB-D1102|HUB-D1103|HUB-D1104|HUB-D1105	אַבראַמאָוו|אַבראַמאָוו, א. [אַברהם קאַגאָן]|אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]|אַבראַמאָוו, באָריס [פּיינלאַנד]|אַבראַמאָוו, מערי [מרים איינהאָרן]	0.6|0.3|0.3|0.3|0.05	0	gender:male|fame-prior|gender-mismatch	HUB-D1106	1	געבנדיק אויף אַזאַ אופֿן די מעגלעכקייט צו אָרגאַניזירן אין טאָראַנטאָ דאָס ערשטע סטאַבילע יידישע טעאַטער מיט שענקמאַן, אַבראַמאָוו, סיימאָן א. א., וועלכע ער צאָלט שכירות.
M-Volume_4IIIorg-NOXID-אַבראַמאָוו-001	4	facs_358_tr_1754998512	P-4-facs_358_tr_1754998512	קאָפּלאַן, סעם [זכריה]	אבראמאוו	אַבראַמאָוו	RESOLVED	scored	HUB-D1106	אַבראַמאָוו	HUB-D1106|HUB-D1102|HUB-D1103|HUB-D1104|HUB-D1105	אַבראַמאָוו|אַבראַמאָוו, א. [אַברהם קאַגאָן]|אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]|אַבראַמאָוו, באָריס [פּיינלאַנד]|אַבראַמאָוו, מערי [מרים איינהאָרן]	0.6|0.3|0.3|0.3|0.05	0	gender:male|fame-prior|gender-mismatch	HUB-D1106	1	אין פּיטסבורג טרעט ער אַריין אין אַבראַמאָווס טרופּע
M-volume6IIIorg-6-facs_246_r-אַבראַמאָוו-000	6	facs_246_r	P-6-facs_246_r	גאָרעלאָוואָ-קאַגאָן, אַסתר	אבראמאוו	אַבראַמאָוו	AMBIGUOUS	low_margin			HUB-D1106|HUB-D1103|HUB-D1102|HUB-D1104|HUB-D1105	אַבראַמאָוו|אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]|אַבראַמאָוו, א. [אַברהם קאַגאָן]|אַבראַמאָוו, באָריס [פּיינלאַנד]|אַבראַמאָוו, מערי [מרים איינהאָרן]	0.6|0.4|0.3|0.3|0.05	0	gender:male|fame-prior|career-overlap|gender-mismatch	HUB-D1106		ג. איז געווען די פרוי פֿון אַקטיאָר און טעאַטער-פֿאַרוואַלטער אַבראַמאָוו.
M-Volume_3IIIorg-NOXID-אַבראַמאָוויטש-000	3	facs_89_tr_1753268336	P-3-facs_89_tr_1753268336	פזשיגאָדאַ, [?]	אבראמאוויטש	אַבראַמאָוויטש	AMBIGUOUS	low_margin			HUB-D1108|HUB-D1109|HUB-D694|HUB-D742	אַבראַמאָוויטש, חיים|אַבראַמאָוויטש, איזאַק|אַבראַמאָוויטש, מאַקס (מענדל)|אַבראַמאָוויטש, בינע [פוקס]	0.3|0.3|0.3|0.05	0	gender:male|year:1933|gender-mismatch	HUB-D1109		"די מיטגלידער פֿון „פּיאט"" זיינען באַשטאַנען פֿאָלגנדיקע אַרבעטער און האַנטווערקער: מענער — אַבראַמאָוויטש"
