play	heading_text	family	occurrences	pages	question	answer_type	answer_n
Lateiner_Meshumed	IR	German (S=Scene, R=?)	10	0004,0018,0019,0023,0024,0026	act or scene? which number?		
Lateiner_Meshumed	IIR	German (S=Scene, R=?)	10	0019,0021,0023,0024,0025,0026	act or scene? which number?		
Lateiner_Meshumed	R.I	German (S=Scene, R=?)	6	0004,0016,0019,0021,0024,0026	act or scene? which number?		
Lateiner_Meshumed	R.II	German (S=Scene, R=?)	5	0015,0019,0021,0024,0026	act or scene? which number?		
Lateiner_Meshumed	SI	German (S=Scene, R=?)	4	0015,0021,0023,0031	act or scene? which number?		
Lateiner_Meshumed	SII	German (S=Scene, R=?)	3	0023,0027,0031	act or scene? which number?		
Lateiner_Meshumed	RI	German (S=Scene, R=?)	2	0031,0032	act or scene? which number?		
Lateiner_Meshumed	RII	German (S=Scene, R=?)	2	0031,0032	act or scene? which number?		
Lateiner_Meshumed	R I II 1ter Act	German (S=Scene, R=?)	1	0004	act or scene? which number?		
Lateiner_Meshumed	II R	German (S=Scene, R=?)	1	0004	act or scene? which number?		
Lateiner_Meshumed	R. II	German (S=Scene, R=?)	1	0005	act or scene? which number?		
Lateiner_Meshumed	.R.I	German (S=Scene, R=?)	1	0011	act or scene? which number?		
Lateiner_Meshumed	.R/II Zingen pintale id	German (S=Scene, R=?)	1	0011	act or scene? which number?		
Lateiner_Meshumed	S II	German (S=Scene, R=?)	1	0015	act or scene? which number?		
Lateiner_Meshumed	2ter Act	German (S=Scene, R=?)	1	0016	act or scene? which number?		
Lateiner_Meshumed	II	bare Roman numeral	1	0017	act or scene? which number?		
Lateiner_Meshumed	III	bare Roman numeral	1	0017	act or scene? which number?		
Lateiner_Meshumed	IIII	bare Roman numeral	1	0017	act or scene? which number?		
Lateiner_Meshumed	R.II SII	German (S=Scene, R=?)	1	0022	act or scene? which number?		
Lateiner_Meshumed	XX	bare Roman numeral	1	0025	act or scene? which number?		
Lateiner_Meshumed	R II S II	German (S=Scene, R=?)	1	0037	act or scene? which number?		
Lateiner_Meshumed	אדער דיע 5טע אקט	Yiddish ordinal + numeral	1	0037	act or scene? which number?		
MS_BasKoyen	I	bare Roman numeral	7	0006,0011,0017,0023,0030	act or scene? which number?		
MS_BasKoyen	II	bare Roman numeral	5	0006,0007,0017,0023	act or scene? which number?		
MS_BasKoyen	N.2	bare Arabic numeral	1	0011	act or scene? which number?		
MS_BasKoyen	N3    II	other	1	0012	act or scene? which number?		
MS_BasKoyen	צווייטעס בילד	other	1	0018	act or scene? which number?		
MS_BasKoyen	N 5	other	1	0020	act or scene? which number?		
MS_BasKoyen	3 Bild	bare Arabic numeral	1	0020	act or scene? which number?		
MS_BasKoyen	A. 6	other	1	0020	act or scene? which number?		
MS_BasKoyen	II III	other	1	0030	act or scene? which number?		
MS_BasKoyen	3טער אקט	Yiddish ordinal + numeral	1	0031	act or scene? which number?		
MS_BenHaDor	1.	bare Arabic numeral	2	0012,0013	act or scene? which number?		
MS_BenHaDor	2	bare Arabic numeral	2	0012,0013	act or scene? which number?		
MS_BenHaDor	"1. ""Erster Act"""	German (S=Scene, R=?)	1	0004	act or scene? which number?		
MS_BenHaDor	3	bare Arabic numeral	1	0013	act or scene? which number?		
MS_BenHaDor	"2 ""Zweiter Act"""	German (S=Scene, R=?)	1	0018	act or scene? which number?		
MS_BenHaDor	3 Driter Act	German (S=Scene, R=?)	1	0029	act or scene? which number?		
MS_BenHaDor	"4. ""Vierte Act"""	German (S=Scene, R=?)	1	0035	act or scene? which number?		
MS_DiTsveyTnoim	I.	bare Roman numeral	2	0013,0018	act or scene? which number?		
MS_DiTsveyTnoim	2. (II)	bare Arabic numeral	1	0014	act or scene? which number?		
MS_DiTsveyTnoim	3. (III)	bare Arabic numeral	1	0014	act or scene? which number?		
MS_DiTsveyTnoim	2 ער אקט	Yiddish ordinal + numeral	1	0018	act or scene? which number?		
MS_DiTsveyTnoim	II	bare Roman numeral	1	0021	act or scene? which number?		
MS_DiTsveyTnoim	ער אקט III (ער3)	Yiddish ordinal + numeral	1	0028	act or scene? which number?		
MS_DiTsveyTnoim	II. (2)	other	1	0030	act or scene? which number?		
MS_DiTsveyTnoim	III. (3)	other	1	0030	act or scene? which number?		
MS_DiTsveyTnoim	A II.	other	1	0031	act or scene? which number?		
MS_DiTsveyTnoim	ערIV אקט	Yiddish ordinal + numeral	1	0040	act or scene? which number?		
MS_KhurbnYerusholaim	I	bare Roman numeral	7	0009,0019,0021,0030,0033	act or scene? which number?		
MS_KhurbnYerusholaim	II	bare Roman numeral	5	0009,0019,0021,0031,0034	act or scene? which number?		
MS_KhurbnYerusholaim	III	bare Roman numeral	2	0021,0034	act or scene? which number?		
MS_KhurbnYerusholaim	ערשטער אקט }	other	1	0007	act or scene? which number?		
MS_KhurbnYerusholaim	IV	bare Roman numeral	1	0021	act or scene? which number?		
MS_KhurbnYerusholaim	V	bare Roman numeral	1	0021	act or scene? which number?		
MS_TissaEssler	אנפאנג 2טער אקט	Yiddish ordinal + numeral	1	0011	act or scene? which number?		
MS_TissaEssler	דריטטער אַקט.	other	1	0014	act or scene? which number?		
MS_TissaEssler	5טער אקט	Yiddish ordinal + numeral	1	0034	act or scene? which number?		
MS_TissaEssler	2	bare Arabic numeral	1	0035	act or scene? which number?		
MS_TissaEssler	אנפאנג אקט	other	1	0035	act or scene? which number?		
MS_YaakovEsav	.2	bare Arabic numeral	2	0041,0047	act or scene? which number?		
MS_YaakovEsav	.3	bare Arabic numeral	2	0041,0047	act or scene? which number?		
MS_YaakovEsav	I	bare Roman numeral	1	0037	act or scene? which number?		
MS_YaakovEsav	.1	bare Arabic numeral	1	0041	act or scene? which number?		
MS_YaakovEsav	4-טער אקט	Yiddish ordinal + numeral	1	0042	act or scene? which number?		
MS_YaakovEsav	1.	bare Arabic numeral	1	0047	act or scene? which number?		
MS_YaakovEsav	B	other	1	0055	act or scene? which number?		
